,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,east london,77.18,73,100,2.71,-33.0153,27.9116
1,cape town,71.33,80,0,2.3,-33.9258,18.4232
2,thompson,1.56,78,100,6.91,55.7435,-97.8558
3,coihaique,58.95,63,75,8.05,-45.5752,-72.0662
4,tunduru,,,,,,
5,keramoti,47.1,56,100,0.63,40.8583,24.7061
6,sambava,76.14,88,100,7.99,-14.2667,50.1667
7,nikolskoye,24.15,96,100,5.08,59.7035,30.7861
8,rawson,75.07,22,31,14.47,-43.3002,-65.1023
9,katsuura,44.1,43,89,6.62,35.1333,140.3
10,san carlos de bariloche,67.75,37,0,27.63,-41.1456,-71.3082
11,norman wells,5.04,72,100,11.5,65.282,-126.8329
12,albany,16.95,65,15,1.9,42.6001,-73.9662
13,new norfolk,80.64,42,27,4,-42.7826,147.0587
14,carnarvon,78.87,73,1,10.36,-24.8667,113.6333
15,bilibino,7.56,68,100,5.28,68.0546,166.4372
16,umm kaddadah,55.11,26,5,14.83,13.6017,26.6876
17,saint-pierre,78.48,73,20,11.5,-21.3393,55.4781
18,tuktoyaktuk,-18.4,76,75,0,69.4541,-133.0374
19,barrow,-12.98,77,20,10.36,71.2906,-156.7887
20,touros,79.7,73,62,12.17,-5.1989,-35.4608
21,ostrovnoy,11.07,96,100,5.3,68.0531,39.5131
22,chernyshevskiy,-21.73,100,91,2.13,63.0128,112.4714
23,avarua,71.65,100,100,9.22,-21.2078,-159.775
24,mana,76.78,87,92,8.81,5.6592,-53.7767
25,hermanus,74.8,88,2,9.01,-34.4187,19.2345
26,la palma,61.75,66,100,7,33.8464,-118.0467
27,mar del plata,64.04,57,0,5.75,-38.0023,-57.5575
28,buta,68.43,53,65,2.84,2.7858,24.73
29,rikitea,78.01,67,66,4.72,-23.1203,-134.9692
30,rocha,60.15,63,6,6.4,-34.4833,-54.3333
31,labuhan,79.07,84,100,5.99,-6.8844,112.2051
32,tumannyy,,,,,,
33,yellowknife,-10.57,83,20,5.75,62.456,-114.3525
34,airai,67.21,69,78,5.61,-8.9266,125.4092
35,bredasdorp,70.92,88,23,4.61,-34.5322,20.0403
36,busselton,64.04,53,1,17.31,-33.65,115.3333
37,dikson,-2.56,90,100,18.07,73.5069,80.5464
38,kungurtug,-21.84,98,42,1.52,50.5994,97.5228
39,taolanaro,,,,,,
40,batangafo,67.32,19,42,5.19,7.3008,18.2833
41,port alfred,74.95,96,100,5.82,-33.5906,26.891
42,belushya guba,,,,,,
43,shobara,34.65,68,45,7.49,34.85,133.0167
44,kruisfontein,70.88,98,99,4.63,-34.0033,24.7314
45,punta arenas,46.51,81,40,24.16,-53.15,-70.9167
46,ushuaia,42.46,87,40,24.16,-54.8,-68.3
47,cabra,46.51,52,0,2.68,37.4725,-4.4421
48,tiarei,86.02,78,18,20,-17.5333,-149.3333
49,novyy urengoy,-2.09,98,100,6.35,66.0833,76.6333
50,severo-kurilsk,29.05,74,100,21.43,50.6789,156.125
51,mataura,75.47,50,65,1.88,-46.1927,168.8643
52,nuth,36.72,93,83,5.01,50.9175,5.8861
53,kismayo,77.05,79,88,11.79,-0.3582,42.5454
54,muroto,35.64,53,57,12.48,33.2833,134.15
55,butaritari,81.45,79,78,13.31,3.0707,172.7902
